ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1,-0.728311434,0.008851181,0.110357086,1.186406317,1,0,0,0.053149241,0.103821036,0,0.812241878,0.027826938,0.054574736,35710,9,0.003805384,0.18005882,-0.33457433,0,382,-0.142296146,0.704364334,0,-0.840179978,0,0,0.004128181,0,-0.179093431,0.240939478,0,0.008314186,1,CT,-0.034330288,-1.651572441,0.074255272,0.371832049,0.737534656,0.07783122,0.014364419,-0.223596631,1978-CT-1,0,-0.19206011,0.083530728,-0.590449259,0,0.473160645,0.977338174,-0.754996153,0
1,-1.041666549,0.008851181,0.02420253,1.553645982,2,0,0,-0.247585783,-0.886157032,0,1.074812507,0.059342293,0.073574127,10978,9,0.003805384,0.101323257,-0.014599667,0,1834,-1.044694536,1.149813962,1,-0.940534409,0.230769231,0.2,0.170725766,1,-0.314168453,0.241044349,0,0.046498857,1,CT,0.896579183,-1.551586648,0.095542196,0.371832049,-0.924597577,0.316134674,0.012484898,-1.360294042,1978-CT-2,0,0.178708484,-0.016457862,0.129861199,0,0.857793782,0.875787809,-0.197109809,0
1,-0.827406318,0.008851181,0.095028883,1.560141714,3,0,1,-0.461382657,-0.174225558,0,0.859927222,0.019279928,0.064270117,16392,9,0.003805384,0.124940143,-0.68620898,0,382,-0.100165574,0.95222879,0,-0.889919347,0,0,0.002552548,0,-0.179135628,0.240764693,0,0.006939381,1,CT,-0.758712267,-0.600460551,0.095961369,0.371832049,0.69932315,0,0.014607005,-0.27987792,1978-CT-3,0,-0.350227988,-0.020405237,-0.688858495,0,0.287518633,0.934503216,-0.926699323,0
1,-0.797911575,0.008851181,0.107426833,1.273069729,4,0,1,-0.472249926,-0.121234909,0,0.889933743,0.010129824,0.039235234,21367,9,0.003805384,0.187522586,-1.139680092,0,188,-0.240506142,1.319363109,0,-0.782296663,0,0,0.003061457,0,-0.003065896,0.240866767,0,0.001032497,1,CT,-1.166598257,-1.256106243,0.086613712,0.371832049,0.975171643,0,0.01427031,-0.25522468,1978-CT-4,4,-0.693339249,-0.414586342,-0.672644171,4,0.414538277,0.660116524,-0.480779135,0
1,-0.92632095,0.008851181,0.039394081,1.816793165,5,0,1,-0.405493848,-0.48045245,0,1.353980507,0.0205383,0.020051003,13627,9,0.003805384,0.143385875,-1.134821239,0,585,-0.560913979,1.887518115,0,-0.825380765,0,0,0.002237073,0,-0.238321802,0.240796853,0,0.007579277,1,CT,-0.744434885,-1.384087238,0.115539346,0.371832049,0.261552678,0,0.014174088,-1.012517792,1978-CT-5,0,-0.352686418,0.29827144,-1.092450629,4,1.245676195,1.171195849,-0.096160375,1
1,-1.013802738,0.008851181,0.01473326,1.997902052,6,0,0,-0.263997576,-0.31084022,0,1.314436896,0.044986935,0.018983368,18225,9,0.003805384,0.136370032,-1.025678337,0,1491,-0.631274501,1.870062988,0,-0.851826697,0,0,0.003522567,0,-0.306005923,0.240817828,0,0.031589709,1,CT,-0.502612203,-1.458951621,0.11396554,0.371832049,-0.273412278,0,0.014663843,-0.901664299,1978-CT-6,0,0.256549847,0.321068838,-0.267641048,0,0.647403111,1.210157527,-0.787671848,0
1,-0.424327881,0.000495708,0.002038372,1.821752482,1,0,1,-0.242928382,-0.88564385,0,0.948355065,0.086325153,0.11036264,12187,23,0.003805384,0.064725513,-0.390831807,34400,4569,-1.110873114,0.470188241,1,-1.132924187,0.076923077,0,0.06418445,1,-0.335721356,0.2273244,0.131169177,0.058942535,2,ME,-0.085880444,-0.834107222,0.0787164,-0.207062801,-0.627496218,0.325317009,0.014114481,-0.612832472,1978-ME-1,4,0.290059312,0.49950065,-0.45615452,4,0.934666254,1.480019523,-0.734434778,0
1,-0.613288476,0.000495708,0.003074008,2.013482781,2,0,1,-0.604209615,-1.23695842,0,1.256406353,0.154151908,0.05561905,8021,23,0.003805384,0.078479487,-0.874547128,34400,26351,-1.0548708,0.718676308,0,-1.21655288,0.076923077,0.2,0.064156527,0,-0.34727439,0.230541849,0,0.100875831,2,ME,-0.358311263,-1.001238884,0.142446469,-0.207062801,-0.936406238,0,0.011088481,-1.324820342,1978-ME-2,4,-0.587813831,0.091755876,-1.196258909,4,1.578266749,0.8799956,0.645376844,0
1,-0.563900719,0.02162639,0.009242004,1.416265809,1,0,0,-0.766331519,-0.537979517,0,0.825836563,0.066466057,0.045854966,10888,25,0.003805384,0.093446698,-0.152354285,27131,2473,-0.268455827,0.996385877,0,-0.990799194,0.076923077,0,0.014323237,1,-0.325232503,0.190629269,0,0.044705256,3,MA,0.44875666,-1.418139725,0.127954906,0.340255966,0.026599385,0.310013118,0.014789372,-1.108644019,1978-MA-1,4,0.583520984,-0.62327557,2.212116825,4,0.721540776,0.815259003,-0.287650691,0
1,-0.675978984,0.02162639,0.050827508,2.01030306,2,0,0,-0.99033032,-0.57279971,0,1.199684081,0.029319793,0.04809938,14405,25,0.003805384,0.11947029,-0.996299585,27131,1233,-0.435467508,1.502448457,0,-0.994564675,0.076923077,0.2,0.065169648,0,-0.300318465,0.194589206,0,0.017810226,3,MA,-0.890617361,-1.343312087,0.119341747,0.340255966,0.175436771,0,0.014309551,-0.556261809,1978-MA-2,0,-0.22356542,-0.491794922,0.331880607,0,0.633701994,0.285059758,0.313099257,0
